Area;Resumo;Autores;Titulo;Local;Link
Ar, "Identificação das principais fontes geradoras de material particulado da cidade de Limeira (SP), Brasil" , "CANTERAS, FELIPPE BENAVENTE; MOREIRA, SILVANA ; DE FARIA, BRUNA FERNANDA ." , " Study of main and signature sources of particulate matter pollutants in Limeira City (Brazil) using SR-TXRF." , " X-RAY SPECTROMETRY, v. 42, p. 290-298, 2013." ,https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/10.1002/xrs.2468
Ar, "Revisão de literatura baseada em artigos, considerando estudos realizados na América do Sul, cujos autores abordam a caracterização da fração orgânica polar do material particulado" , "GONCALVES, P. B. ; BALTAZAR, J. P. ; NOGAROTTO, D. C. ; CRISTALE, J. ; POZZA, S. A. ." , " Occurrence of polar organic compounds in atmospheric particulate matter: a system review in South America." , " ENVIRONMENTAL MONITORING AND ASSESSMENT, v. 193, p. 1-10, 2021." ,https://link.springer.com/article/10.1007/s10661-021-08881-x
Ar, "Avaliação de períodos com altas concentrações de material particulado para definir e avaliar as principais possíveis fontes de emissão de material particulado na cidade de Limeira, São Paulo, Brasil" , "NOGAROTTO, D. C. ; SOUZA, F. L. C. ; RIBEIRO, F. N. D. ; POZZA, S. A. ." , " Use of Trajectory Regression Analysis to Understand High-PM10 Episodes: a Case Study in Limeira, Brazil." , " WATER AIR AND SOIL POLLUTION, v. 232, p. 431, 2021." ,https://link.springer.com/article/10.1007/s11270-021-05392-w
Ar, "Análise do impacto das medidas de distanciamento social na qualidade do ar e a variação nas concentrações de material particulado em três estações de monitoramento na cidade de Campinas (SP)" , "MACORIN, R. P. ; NOGAROTTO, D. C. ; POZZA, S. A. ." , " O isolamento social efetivamente impacta a qualidade do ar? o caso de Campinas - SP." , " Holos Environment (Online), v. 21, p. 350-373, 2021." ,https://www.cea-unesp.org.br/holos/article/view/12456
Ar, "Verificação da influência de temperatura, velocidade do vento e umidade relativa na variação de concentração do Material Particulado inalável (MP10)" , "NOGAROTTO, D. C. ; LIMA, M. R. G. ; POZZA, S. A. ." , " Análise de componentes principais para verificar relação entre variáveis meteorológicas e a concentração de MP10." , " HOLOS (NATAL. ONLINE), v. 1, p. 1-17, 2020." ,https://www2.ifrn.edu.br/ojs/index.php/HOLOS/article/view/8649
Ar, "Revisão sistemática de 3 técnicas para o estudo de poluentes atmosféricos, com base em influências da massa de ar sobre o material particulado e o estudo da relação entre material particulado e variáveis ??meteorológicas" , "NOGAROTTO, D. C. ; POZZA, S. A. ." , " A review of multivariate analysis: is there a relationship between airborne particulate matter and meteorological variables?." , " ENVIRONMENTAL MONITORING AND ASSESSMENT, v. 192, p. 1-14, 2020." ,https://link.springer.com/article/10.1007/s10661-020-08538-1
Ar, "Proposição de um novo método de preenchimento de dados faltantes, e após a imputação dos dados, utilizar um modelo de séries temporais para prever a concentração de material particulado inalável" , "NOGAROTTO, D. C. ; RISSI, N. M. ; POZZA, S. A. ." , " Um novo método de preenchimento de dados faltantes aplicado a séries temporais de concentração de MP10." , " REVISTA TECNOLOGIA E SOCIEDADE (ONLINE), v. 15, p. 275-296, 2019." ,https://periodicos.utfpr.edu.br/rts/article/view/8594
Ar, "Utilização de três métodos de rateio de fontes ??para identificar as principais fontes de poluentes dissolvidos em amostras de água de chuva na cidade de Limeira, localizada no Estado de São Paulo, Brasil" , " MARTINS, EDUARDO HENRIQUE ; NOGAROTTO, DANILO COVAES ; MORTATTI, JEFFERSON ; POZZA, SIMONE ANDRÉA ." , " Chemical composition of rainwater in an urban area of the southeast of Brazil." , " Atmospheric Pollution Research, v. 10, p. 520-530, 2019." ,https://www.sciencedirect.com/science/article/abs/pii/S1309104218302198?via%3Dihub
Ar, "Resolução da equação de advecção-difusão unidimensional usando um algoritmo de passo adaptativo para a análise de dispersão de poluentes e comparação com outros trabalhos recentes" , "PEREIRA, M. F. ; POZZA, S. A. ; TIMOTEO, V. S. ." , " Numerical Methods for the Evaluation of Pollutant Dispersion Based on Advection-diffusion Equation." , " Chemical Engineering Transactions, v. 39, p. 799-804, 2014." ,https://www.aidic.it/cet/14/39/134.pdf
Infra Verde, "Discussão inovadora a respeito da implantação de telhados verdes no contexto de cidades sustentáveis, buscando analisar se tais infraestruturas verdes cumprem requisitos de legislações e políticas públicas em vigor" , "PAULA, G. ; FREIRIA, R. C. ; CANTERAS, F. B. ." , " Telhados verdes no contexto de cidades sustentáveis: aspectos técnicos e legislações ambientais vigentes." , " DIREITO DA CIDADE, v. 14, p. 948-975, 2022." ,https://www.e-publicacoes.uerj.br/index.php/rdc/article/view/59152
